Model: iE2348C_1286, AUC: 0.3534, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6504, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6319, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3690, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6311, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3407, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6361, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6600, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6455, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.5630, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3572, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3667, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3562, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3622, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3679, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6443, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3648, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3559, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3639, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3592, F1: 0.6667, Accuracy: 0.5000
